gene_id	locus_tag	start	end	strand	product	go	genome_id	accession	gene_name
exon-USA300HOU_RS15175-1	USA300HOU_RS15175	868408	868769	+	None	None	TCH1516	NC_010079.1	ssrA
cds-WP_001058299.1	USA300HOU_RS04240	869639	869962	-	hypothetical protein	None	TCH1516	NC_010079.1	USA300HOU_RS04240
cds-WP_001057759.1	USA300HOU_RS15985	869978	870124	-	hypothetical protein	None	TCH1516	NC_010079.1	USA300HOU_RS15985
cds-WP_000757406.1	USA300HOU_RS04250	870316	871044	-	DUF5067 domain-containing protein	None	TCH1516	NC_010079.1	USA300HOU_RS04250
cds-WP_001790158.1	USA300HOU_RS04255	871480	871635	+	hypothetical protein	None	TCH1516	NC_010079.1	USA300HOU_RS04255
gene-USA300HOU_RS04260	USA300HOU_RS04260	871643	872164	+	None	None	TCH1516	NC_010079.1	USA300HOU_RS04260
cds-USA300HOU_RS04260	USA300HOU_RS04260	871643	872164	+	hypothetical protein	None	TCH1516	NC_010079.1	USA300HOU_RS04260
cds-WP_001167175.1	USA300HOU_RS04265	872303	872833	+	N-acetyltransferase	None	TCH1516	NC_010079.1	USA300HOU_RS04265
cds-WP_001056223.1	USA300HOU_RS04270	873096	875897	+	MSCRAMM family adhesin clumping factor ClfA	cell adhesion|0007155||IEA	TCH1516	NC_010079.1	clfA
cds-WP_000791729.1	USA300HOU_RS04275	876118	877644	+	von Willebrand factor binding protein Vwb	None	TCH1516	NC_010079.1	vwb
cds-WP_000728056.1	USA300HOU_RS04280	877995	879017	+	extracellular matrix protein-binding adhesin Emp	None	TCH1516	NC_010079.1	emp
cds-WP_000824472.1	USA300HOU_RS04285	879352	879822	+	hypothetical protein	None	TCH1516	NC_010079.1	USA300HOU_RS04285
cds-WP_001548082.1	USA300HOU_RS04290	880163	880849	+	thermonuclease family protein	None	TCH1516	NC_010079.1	USA300HOU_RS04290
cds-WP_001059082.1	USA300HOU_RS04295	881206	881406	+	cold-shock protein	None	TCH1516	NC_010079.1	USA300HOU_RS04295
cds-WP_000005886.1	USA300HOU_RS04300	881902	882120	-	hypothetical protein	None	TCH1516	NC_010079.1	USA300HOU_RS04300
cds-WP_001004395.1	USA300HOU_RS04305	882182	882466	-	hypothetical protein	None	TCH1516	NC_010079.1	USA300HOU_RS04305
cds-WP_001106654.1	USA300HOU_RS04310	882554	883123	-	lipoprotein N-acylation protein LnsA	None	TCH1516	NC_010079.1	USA300HOU_RS04310
cds-WP_000052078.1	USA300HOU_RS04315	883311	883499	-	hypothetical protein	None	TCH1516	NC_010079.1	USA300HOU_RS04315
cds-WP_001059690.1	USA300HOU_RS04320	883528	883788	-	hypothetical protein	None	TCH1516	NC_010079.1	USA300HOU_RS04320
cds-WP_000145163.1	USA300HOU_RS04325	884129	884332	+	sterile alpha motif-like domain-containing protein	None	TCH1516	NC_010079.1	USA300HOU_RS04325
cds-WP_000368687.1	USA300HOU_RS04330	884329	884565	-	hypothetical protein	None	TCH1516	NC_010079.1	USA300HOU_RS04330
cds-WP_001140686.1	USA300HOU_RS04335	884790	885371	+	histidine phosphatase family protein	None	TCH1516	NC_010079.1	USA300HOU_RS04335
cds-WP_000255561.1	USA300HOU_RS04340	885444	886061	-	LysE/ArgO family amino acid transporter	None	TCH1516	NC_010079.1	USA300HOU_RS04340
cds-WP_000569884.1	USA300HOU_RS04345	886216	886710	-	GNAT family N-acetyltransferase	None	TCH1516	NC_010079.1	USA300HOU_RS04345
cds-WP_000974460.1	USA300HOU_RS04350	887109	887531	-	organic hydroperoxide resistance protein	None	TCH1516	NC_010079.1	USA300HOU_RS04350
cds-WP_000150017.1	USA300HOU_RS04355	887679	888395	+	type I 3-dehydroquinate dehydratase	chorismate biosynthetic process|0009423||IEA	TCH1516	NC_010079.1	aroD
cds-WP_000422909.1	USA300HOU_RS04360	888478	889017	+	nitroreductase	None	TCH1516	NC_010079.1	USA300HOU_RS04360
cds-WP_001190695.1	USA300HOU_RS04365	889167	889487	-	thioredoxin family protein	None	TCH1516	NC_010079.1	USA300HOU_RS04365
cds-WP_000589549.1	USA300HOU_RS04370	889631	889987	+	arsenate reductase family protein	None	TCH1516	NC_010079.1	USA300HOU_RS04370
cds-WP_000290485.1	USA300HOU_RS04375	890145	890525	+	glycine cleavage system protein GcvH	glycine decarboxylation via glycine cleavage system|0019464||IEA	TCH1516	NC_010079.1	gcvH
cds-WP_000932219.1	USA300HOU_RS04385	890704	891582	+	YwqG family protein	None	TCH1516	NC_010079.1	USA300HOU_RS04385
cds-WP_001018962.1	USA300HOU_RS04395	892324	892710	+	toprim domain-containing protein	None	TCH1516	NC_010079.1	USA300HOU_RS04395
cds-WP_001065801.1	USA300HOU_RS04400	892703	892999	+	thioredoxin family protein	None	TCH1516	NC_010079.1	USA300HOU_RS04400
id-NC_010079.1:893057..893160	None	893057	893160	+	None	None	TCH1516	NC_010079.1	None
cds-WP_000571218.1	USA300HOU_RS04405	893249	894274	+	methionine ABC transporter ATP-binding protein	None	TCH1516	NC_010079.1	USA300HOU_RS04405
cds-WP_000520233.1	USA300HOU_RS04410	894267	894962	+	methionine ABC transporter permease	None	TCH1516	NC_010079.1	USA300HOU_RS04410
cds-WP_000732326.1	USA300HOU_RS04415	894980	895801	+	MetQ/NlpA family ABC transporter substrate-binding protein	None	TCH1516	NC_010079.1	USA300HOU_RS04415
cds-WP_000266158.1	USA300HOU_RS04420	895944	897164	-	site-specific integrase	None	TCH1516	NC_010079.1	USA300HOU_RS04420
cds-WP_000734020.1	USA300HOU_RS04425	897252	897980	-	staphylococcal enterotoxin type K	None	TCH1516	NC_010079.1	sek
cds-WP_001033321.1	USA300HOU_RS04430	898004	898732	-	staphylococcal enterotoxin type Q	None	TCH1516	NC_010079.1	seq
cds-WP_000281658.1	USA300HOU_RS04435	898749	899207	-	ImmA/IrrE family metallo-endopeptidase	None	TCH1516	NC_010079.1	USA300HOU_RS04435
cds-WP_001260004.1	USA300HOU_RS04440	899219	899551	-	helix-turn-helix transcriptional regulator	None	TCH1516	NC_010079.1	USA300HOU_RS04440
cds-WP_000243849.1	USA300HOU_RS04445	899744	900007	+	helix-turn-helix transcriptional regulator	None	TCH1516	NC_010079.1	USA300HOU_RS04445
cds-WP_000091732.1	USA300HOU_RS04450	900000	900272	+	helix-turn-helix domain-containing protein	None	TCH1516	NC_010079.1	USA300HOU_RS04450
cds-WP_078056051.1	USA300HOU_RS15185	900284	900457	+	pathogenicity island protein	None	TCH1516	NC_010079.1	USA300HOU_RS15185
cds-WP_001171846.1	USA300HOU_RS04455	900424	900627	+	hypothetical protein	None	TCH1516	NC_010079.1	USA300HOU_RS04455
cds-WP_000403840.1	USA300HOU_RS04460	900629	901012	+	hypothetical protein	None	TCH1516	NC_010079.1	USA300HOU_RS04460
cds-WP_001103959.1	USA300HOU_RS04465	901013	901261	+	DUF1474 family protein	None	TCH1516	NC_010079.1	USA300HOU_RS04465
cds-WP_000985235.1	USA300HOU_RS04470	901353	903725	+	phage/plasmid primase%2C P4 family	DNA replication|0006260||IEA	TCH1516	NC_010079.1	USA300HOU_RS04470
cds-WP_001081424.1	USA300HOU_RS04475	904396	904740	+	hypothetical protein	None	TCH1516	NC_010079.1	USA300HOU_RS04475
cds-WP_000884055.1	USA300HOU_RS04480	904965	905171	+	hypothetical protein	None	TCH1516	NC_010079.1	USA300HOU_RS04480
cds-WP_000657538.1	USA300HOU_RS04485	905158	906216	+	phage capsid protein	None	TCH1516	NC_010079.1	USA300HOU_RS04485
cds-WP_000253084.1	USA300HOU_RS04490	906400	906891	+	hypothetical protein	None	TCH1516	NC_010079.1	USA300HOU_RS04490
gene-USA300HOU_RS15195	USA300HOU_RS15195	906891	907043	+	None	None	TCH1516	NC_010079.1	USA300HOU_RS15195
cds-USA300HOU_RS15195	USA300HOU_RS15195	906891	907043	+	terminase small subunit	None	TCH1516	NC_010079.1	USA300HOU_RS15195
gene-USA300HOU_RS15990	USA300HOU_RS15990	907090	907173	+	None	None	TCH1516	NC_010079.1	USA300HOU_RS15990
cds-USA300HOU_RS15990	USA300HOU_RS15990	907090	907173	+	terminase small subunit	None	TCH1516	NC_010079.1	USA300HOU_RS15990
cds-WP_000801979.1	USA300HOU_RS04495	907320	908288	+	Abi family protein	None	TCH1516	NC_010079.1	USA300HOU_RS04495
cds-WP_001035618.1	USA300HOU_RS04500	908523	909077	-	DUF4888 domain-containing protein	None	TCH1516	NC_010079.1	USA300HOU_RS04500
cds-WP_000752917.1	USA300HOU_RS04505	910111	910305	+	CsbD family protein	None	TCH1516	NC_010079.1	USA300HOU_RS04505
cds-WP_001183858.1	USA300HOU_RS04510	910538	911389	-	DUF368 domain-containing protein	None	TCH1516	NC_010079.1	USA300HOU_RS04510
cds-WP_000168845.1	USA300HOU_RS04515	911717	912478	+	Fe-S cluster assembly ATPase SufC	iron-sulfur cluster assembly|0016226||IEA	TCH1516	NC_010079.1	sufC
cds-WP_000205572.1	USA300HOU_RS04520	912576	913883	+	Fe-S cluster assembly protein SufD	iron-sulfur cluster assembly|0016226||IEA	TCH1516	NC_010079.1	sufD
cds-WP_001006454.1	USA300HOU_RS04525	913989	915239	+	cysteine desulfurase	None	TCH1516	NC_010079.1	USA300HOU_RS04525
cds-WP_001010508.1	USA300HOU_RS04530	915229	915693	+	SUF system NifU family Fe-S cluster assembly protein	iron-sulfur cluster assembly|0016226||IEA	TCH1516	NC_010079.1	USA300HOU_RS04530
cds-WP_001074405.1	USA300HOU_RS04535	915844	917241	+	Fe-S cluster assembly protein SufB	iron-sulfur cluster assembly|0016226||IEA	TCH1516	NC_010079.1	sufB
cds-WP_001790198.1	USA300HOU_RS04540	917428	917565	+	chorismate mutase	None	TCH1516	NC_010079.1	USA300HOU_RS04540
cds-WP_000274029.1	USA300HOU_RS04545	917571	917885	-	hypothetical protein	None	TCH1516	NC_010079.1	USA300HOU_RS04545
cds-WP_000582332.1	USA300HOU_RS04550	918250	919290	+	HlyC/CorC family transporter	None	TCH1516	NC_010079.1	USA300HOU_RS04550
cds-WP_000267247.1	USA300HOU_RS04555	919304	920371	+	nitronate monooxygenase family protein	None	TCH1516	NC_010079.1	USA300HOU_RS04555
cds-WP_001791752.1	USA300HOU_RS04560	920438	920536	+	hypothetical protein	None	TCH1516	NC_010079.1	USA300HOU_RS04560
cds-WP_000608129.1	USA300HOU_RS04565	920584	921432	+	DUF72 domain-containing protein	None	TCH1516	NC_010079.1	USA300HOU_RS04565
cds-WP_000927632.1	USA300HOU_RS04570	921445	922272	+	sulfite exporter TauE/SafE family protein	None	TCH1516	NC_010079.1	USA300HOU_RS04570
cds-WP_001241217.1	USA300HOU_RS04575	922299	923618	+	bifunctional UDP-sugar hydrolase/5'-nucleotidase	None	TCH1516	NC_010079.1	USA300HOU_RS04575
cds-WP_000201875.1	USA300HOU_RS04580	923702	924619	+	lipoyl synthase	lipoate biosynthetic process|0009107||IEA	TCH1516	NC_010079.1	lipA
cds-WP_000598444.1	USA300HOU_RS04585	924749	925132	+	YutD family protein	None	TCH1516	NC_010079.1	USA300HOU_RS04585
cds-WP_000566649.1	USA300HOU_RS04590	925211	925477	-	DUF3055 domain-containing protein	None	TCH1516	NC_010079.1	USA300HOU_RS04590
cds-WP_000273981.1	USA300HOU_RS04595	925575	926009	+	DUF86 domain-containing protein	None	TCH1516	NC_010079.1	USA300HOU_RS04595
cds-WP_000816184.1	USA300HOU_RS04600	926009	926788	+	TIGR01457 family HAD-type hydrolase	None	TCH1516	NC_010079.1	USA300HOU_RS04600
cds-WP_000239131.1	USA300HOU_RS04605	926821	927780	+	D-glycerate dehydrogenase	None	TCH1516	NC_010079.1	USA300HOU_RS04605
cds-WP_001790652.1	USA300HOU_RS04610	928034	928144	+	hypothetical protein	None	TCH1516	NC_010079.1	USA300HOU_RS04610
cds-WP_000837752.1	USA300HOU_RS04615	928192	928344	+	teichoic acid D-Ala incorporation-associated protein DltX	None	TCH1516	NC_010079.1	USA300HOU_RS04615
cds-WP_000129653.1	USA300HOU_RS04620	928360	929817	+	D-alanine--poly(phosphoribitol) ligase subunit DltA	teichoic acid biosynthetic process|0019350||IEA	TCH1516	NC_010079.1	dltA
cds-WP_000613541.1	USA300HOU_RS04625	929814	931028	+	PG:teichoic acid D-alanyltransferase DltB	None	TCH1516	NC_010079.1	dltB
cds-WP_000395692.1	USA300HOU_RS04630	931046	931282	+	D-alanine--poly(phosphoribitol) ligase subunit 2	teichoic acid biosynthetic process|0019350||IEA	TCH1516	NC_010079.1	dltC
cds-WP_000769417.1	USA300HOU_RS04635	931279	932454	+	D-alanyl-lipoteichoic acid biosynthesis protein DltD	lipoteichoic acid metabolic process|0070394||IEA	TCH1516	NC_010079.1	dltD
cds-WP_001141883.1	USA300HOU_RS04640	932717	932959	-	NifU family protein	None	TCH1516	NC_010079.1	USA300HOU_RS04640
cds-WP_000401414.1	USA300HOU_RS04645	933060	933383	+	YuzD family protein	None	TCH1516	NC_010079.1	USA300HOU_RS04645
cds-WP_000794020.1	USA300HOU_RS04650	933442	934506	-	NAD(P)/FAD-dependent oxidoreductase	None	TCH1516	NC_010079.1	USA300HOU_RS04650
cds-WP_001068337.1	USA300HOU_RS04655	934823	935059	+	YuzB family protein	None	TCH1516	NC_010079.1	USA300HOU_RS04655
cds-WP_001143497.1	USA300HOU_RS04660	935072	935431	+	iron-sulfur cluster assembly accessory protein	None	TCH1516	NC_010079.1	USA300HOU_RS04660
cds-WP_000046076.1	USA300HOU_RS04665	935885	937093	+	NAD(P)/FAD-dependent oxidoreductase	None	TCH1516	NC_010079.1	USA300HOU_RS04665
cds-WP_001009697.1	USA300HOU_RS04670	937224	938699	+	M17 family metallopeptidase	None	TCH1516	NC_010079.1	USA300HOU_RS04670
cds-WP_000606324.1	USA300HOU_RS04675	939110	940426	+	Na+/H+ antiporter family protein	None	TCH1516	NC_010079.1	USA300HOU_RS04675
cds-WP_000149295.1	USA300HOU_RS04680	940445	940819	+	PaaI family thioesterase	None	TCH1516	NC_010079.1	USA300HOU_RS04680
cds-WP_000558769.1	USA300HOU_RS04685	940875	942029	-	FAD/NAD(P)-binding protein	None	TCH1516	NC_010079.1	USA300HOU_RS04685
cds-WP_000590451.1	USA300HOU_RS04690	942278	942634	-	Na+/H+ antiporter Mnh1 subunit G	None	TCH1516	NC_010079.1	mnhG1
cds-WP_001016306.1	USA300HOU_RS04695	942612	942905	-	Na+/H+ antiporter Mnh1 subunit F	None	TCH1516	NC_010079.1	mnhF1
cds-WP_000290674.1	USA300HOU_RS04700	942905	943384	-	Na+/H+ antiporter Mnh1 subunit E	None	TCH1516	NC_010079.1	mnhE1
cds-WP_000573079.1	USA300HOU_RS04705	943386	944882	-	Na+/H+ antiporter Mnh1 subunit D	None	TCH1516	NC_010079.1	mnhD1
cds-WP_000402803.1	USA300HOU_RS04710	944875	945216	-	Na+/H+ antiporter Mnh1 subunit C	None	TCH1516	NC_010079.1	mnhC1
cds-WP_001081626.1	USA300HOU_RS04715	945216	945644	-	Na+/H+ antiporter Mnh1 subunit B	None	TCH1516	NC_010079.1	mnhB1
cds-WP_000054609.1	USA300HOU_RS04720	945637	948042	-	Na+/H+ antiporter Mnh1 subunit A	None	TCH1516	NC_010079.1	mnhA1
cds-WP_000781156.1	USA300HOU_RS04725	948173	948556	-	kinase-associated lipoprotein B	None	TCH1516	NC_010079.1	USA300HOU_RS04725
cds-WP_000035058.1	USA300HOU_RS04730	948620	949213	+	peptidylprolyl isomerase	protein peptidyl-prolyl isomerization|0000413||IEA	TCH1516	NC_010079.1	USA300HOU_RS04730
cds-WP_001067294.1	USA300HOU_RS04735	949629	950006	+	S1 domain-containing post-transcriptional regulator Ygs	None	TCH1516	NC_010079.1	ygs
cds-WP_000838037.1	USA300HOU_RS04740	950368	951495	+	NADH-dependent flavin oxidoreductase	None	TCH1516	NC_010079.1	USA300HOU_RS04740
cds-WP_000167314.1	USA300HOU_RS04745	951803	952993	+	ornithine--oxo-acid transaminase	None	TCH1516	NC_010079.1	USA300HOU_RS04745
cds-WP_000138486.1	USA300HOU_RS04750	953102	954346	+	Glu/Leu/Phe/Val dehydrogenase	None	TCH1516	NC_010079.1	USA300HOU_RS04750
cds-WP_000185319.1	USA300HOU_RS04760	954849	955778	-	glycerophosphodiester phosphodiesterase	None	TCH1516	NC_010079.1	USA300HOU_RS04760
cds-WP_000066062.1	USA300HOU_RS04765	956020	957399	-	argininosuccinate lyase	arginine biosynthetic process via ornithine|0042450||IEA	TCH1516	NC_010079.1	argH
cds-WP_000660045.1	USA300HOU_RS04770	957389	958594	-	argininosuccinate synthase	arginine biosynthetic process|0006526||IEA	TCH1516	NC_010079.1	USA300HOU_RS04770
cds-WP_000148855.1	USA300HOU_RS04775	958945	960276	+	glucose-6-phosphate isomerase	glycolytic process|0006096||IEA	TCH1516	NC_010079.1	USA300HOU_RS04775
cds-WP_000007967.1	USA300HOU_RS04780	960601	961176	+	TVP38/TMEM64 family protein	None	TCH1516	NC_010079.1	USA300HOU_RS04780
cds-WP_000758215.1	USA300HOU_RS04785	961181	961705	+	signal peptidase I	signal peptide processing|0006465||IEA,protein secretion|0009306||IEA	TCH1516	NC_010079.1	lepB
cds-WP_000711486.1	USA300HOU_RS04790	961721	962296	+	signal peptidase I	signal peptide processing|0006465||IEA,protein secretion|0009306||IEA	TCH1516	NC_010079.1	lepB
cds-WP_000172342.1	USA300HOU_RS04795	962456	965932	+	helicase-exonuclease AddAB subunit AddB	double-strand break repair via homologous recombination|0000724||IEA	TCH1516	NC_010079.1	addB
cds-WP_000154914.1	USA300HOU_RS04800	965933	969586	+	helicase-exonuclease AddAB subunit AddA	double-strand break repair via homologous recombination|0000724||IEA	TCH1516	NC_010079.1	addA
cds-WP_000670752.1	USA300HOU_RS04805	969752	970654	+	fumarylacetoacetate hydrolase family protein	None	TCH1516	NC_010079.1	USA300HOU_RS04805
cds-WP_000902817.1	USA300HOU_RS04810	970983	971372	+	YisL family protein	None	TCH1516	NC_010079.1	USA300HOU_RS04810
cds-WP_001124525.1	USA300HOU_RS04815	971543	972859	-	CoA-disulfide reductase	cell redox homeostasis|0045454||IEA	TCH1516	NC_010079.1	USA300HOU_RS04815
cds-WP_001182436.1	USA300HOU_RS04820	972911	973735	-	Cof-type HAD-IIB family hydrolase	None	TCH1516	NC_010079.1	USA300HOU_RS04820
cds-WP_000390575.1	USA300HOU_RS04825	973849	974157	+	metal-sulfur cluster assembly factor	None	TCH1516	NC_010079.1	USA300HOU_RS04825
cds-WP_001044214.1	USA300HOU_RS04830	974704	976518	+	acyltransferase family protein	None	TCH1516	NC_010079.1	USA300HOU_RS04830
cds-WP_000353955.1	USA300HOU_RS04835	976721	979330	+	ATP-dependent chaperone ClpB	protein folding|0006457||IEA	TCH1516	NC_010079.1	clpB
cds-WP_001047066.1	USA300HOU_RS04840	979389	980258	-	LysR family transcriptional regulator	None	TCH1516	NC_010079.1	USA300HOU_RS04840
cds-WP_000619366.1	USA300HOU_RS04845	980368	981513	+	LeuA family protein	None	TCH1516	NC_010079.1	USA300HOU_RS04845
cds-WP_000404422.1	USA300HOU_RS04850	981497	982138	+	L-threonylcarbamoyladenylate synthase	None	TCH1516	NC_010079.1	USA300HOU_RS04850
cds-WP_001037436.1	USA300HOU_RS04855	982131	983249	+	membrane protein	None	TCH1516	NC_010079.1	USA300HOU_RS04855
cds-WP_000695342.1	USA300HOU_RS04860	983233	983748	+	YbhB/YbcL family Raf kinase inhibitor-like protein	None	TCH1516	NC_010079.1	USA300HOU_RS04860
cds-WP_000769689.1	USA300HOU_RS04865	984059	984493	+	MAP domain-containing protein	None	TCH1516	NC_010079.1	USA300HOU_RS04865
cds-WP_000682089.1	USA300HOU_RS04870	984750	984935	-	YjzD family protein	None	TCH1516	NC_010079.1	USA300HOU_RS04870
cds-WP_001100525.1	USA300HOU_RS04875	985230	986171	+	beta-ketoacyl-ACP synthase III	None	TCH1516	NC_010079.1	USA300HOU_RS04875
cds-WP_000081237.1	USA300HOU_RS04880	986183	987427	+	beta-ketoacyl-ACP synthase II	fatty acid biosynthetic process|0006633||IEA	TCH1516	NC_010079.1	fabF
cds-WP_000915155.1	USA300HOU_RS04885	987482	987853	-	DUF3899 domain-containing protein	None	TCH1516	NC_010079.1	USA300HOU_RS04885
cds-WP_000521533.1	USA300HOU_RS04890	988096	989022	+	ABC transporter permease	None	TCH1516	NC_010079.1	USA300HOU_RS04890
cds-WP_000829632.1	USA300HOU_RS04895	989022	990092	+	ABC transporter permease	None	TCH1516	NC_010079.1	USA300HOU_RS04895
cds-WP_000140050.1	USA300HOU_RS04900	990109	991191	+	ABC transporter ATP-binding protein	None	TCH1516	NC_010079.1	USA300HOU_RS04900
cds-WP_000786734.1	USA300HOU_RS04905	991181	992122	+	ATP-binding cassette domain-containing protein	None	TCH1516	NC_010079.1	USA300HOU_RS04905
cds-WP_000197019.1	USA300HOU_RS04910	992141	993796	+	peptide ABC transporter substrate-binding protein	None	TCH1516	NC_010079.1	USA300HOU_RS04910
cds-WP_000517187.1	USA300HOU_RS04915	994008	995723	+	ABC transporter substrate-binding protein	None	TCH1516	NC_010079.1	USA300HOU_RS04915
cds-WP_001067049.1	USA300HOU_RS04920	995774	996760	+	ABC transporter ATP-binding protein	None	TCH1516	NC_010079.1	USA300HOU_RS04920
cds-WP_000427770.1	USA300HOU_RS04925	996763	997743	+	dipeptide ABC transporter ATP-binding protein	peptide transport|0015833||IEA	TCH1516	NC_010079.1	USA300HOU_RS04925
cds-WP_000593417.1	USA300HOU_RS04930	997736	998698	+	ABC transporter permease	None	TCH1516	NC_010079.1	USA300HOU_RS04930
cds-WP_001180262.1	USA300HOU_RS04935	998710	999591	+	ABC transporter permease	None	TCH1516	NC_010079.1	USA300HOU_RS04935
cds-WP_000448934.1	USA300HOU_RS04940	999633	1000622	-	tryptophan--tRNA ligase	tryptophanyl-tRNA aminoacylation|0006436||IEA	TCH1516	NC_010079.1	trpS
cds-WP_000258003.1	USA300HOU_RS04945	1000917	1001312	+	transcriptional regulator SpxA	negative regulation of DNA-templated transcription|0045892||IEA	TCH1516	NC_010079.1	spxA
cds-WP_001217730.1	USA300HOU_RS04950	1001683	1002402	+	adaptor protein MecA	None	TCH1516	NC_010079.1	mecA
gene-USA300HOU_RS04955	USA300HOU_RS04955	1002523	1003508	+	None	None	TCH1516	NC_010079.1	USA300HOU_RS04955
cds-USA300HOU_RS04955	USA300HOU_RS04955	1002523	1003508	+	competence protein CoiA family protein	None	TCH1516	NC_010079.1	USA300HOU_RS04955
cds-WP_000082731.1	USA300HOU_RS04960	1003556	1005364	+	oligoendopeptidase F	proteolysis|0006508||IEA	TCH1516	NC_010079.1	pepF
cds-WP_000896697.1	USA300HOU_RS04965	1005824	1006630	-	protease adaptor protein YjbH	None	TCH1516	NC_010079.1	yjbH
cds-WP_000214075.1	USA300HOU_RS04970	1006653	1007018	-	truncated hemoglobin YjbI	None	TCH1516	NC_010079.1	USA300HOU_RS04970
cds-WP_000224622.1	USA300HOU_RS04975	1007122	1007715	-	CYTH domain-containing protein	None	TCH1516	NC_010079.1	USA300HOU_RS04975
cds-WP_001242102.1	USA300HOU_RS04980	1007901	1008248	+	hypothetical protein	None	TCH1516	NC_010079.1	USA300HOU_RS04980
cds-WP_001077683.1	USA300HOU_RS04985	1008265	1008900	+	GTP pyrophosphokinase family protein	None	TCH1516	NC_010079.1	USA300HOU_RS04985
cds-WP_001270834.1	USA300HOU_RS04990	1008917	1009726	+	NAD kinase	NADP biosynthetic process|0006741||IEA	TCH1516	NC_010079.1	USA300HOU_RS04990
cds-WP_000669939.1	USA300HOU_RS04995	1009723	1010577	+	RluA family pseudouridine synthase	None	TCH1516	NC_010079.1	USA300HOU_RS04995
cds-WP_000062417.1	USA300HOU_RS05000	1010598	1011983	+	magnesium transporter	magnesium ion transport|0015693||IEA	TCH1516	NC_010079.1	mgtE
cds-WP_000395153.1	USA300HOU_RS05005	1011993	1013837	+	monovalent cation:proton antiporter family protein	None	TCH1516	NC_010079.1	USA300HOU_RS05005
cds-WP_000933195.1	USA300HOU_RS05010	1014115	1014885	+	enoyl-ACP reductase FabI	fatty acid biosynthetic process|0006633||IEA	TCH1516	NC_010079.1	fabI
cds-WP_000933105.1	USA300HOU_RS05015	1015080	1016165	-	cell elongation protein CozEa	None	TCH1516	NC_010079.1	cozEa
cds-WP_000570699.1	USA300HOU_RS05020	1016507	1018075	+	alanine/glycine:cation symporter family protein	None	TCH1516	NC_010079.1	USA300HOU_RS05020
cds-WP_001288681.1	USA300HOU_RS05025	1018217	1018975	+	esterase family protein	None	TCH1516	NC_010079.1	USA300HOU_RS05025
cds-WP_000600392.1	USA300HOU_RS05030	1019169	1019678	+	YjcG family protein	None	TCH1516	NC_010079.1	USA300HOU_RS05030
cds-WP_001154222.1	USA300HOU_RS05035	1019791	1020981	-	MFS transporter	None	TCH1516	NC_010079.1	USA300HOU_RS05035
cds-WP_000258650.1	USA300HOU_RS05040	1020959	1022134	-	diglucosyl diacylglycerol synthase	None	TCH1516	NC_010079.1	USA300HOU_RS05040
cds-WP_000340118.1	USA300HOU_RS05045	1022567	1024048	+	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--L-lysine ligase	None	TCH1516	NC_010079.1	USA300HOU_RS05045
cds-WP_000608862.1	USA300HOU_RS05050	1024041	1024292	+	YueH family protein	None	TCH1516	NC_010079.1	USA300HOU_RS05050
cds-WP_001049959.1	USA300HOU_RS05055	1024292	1025854	+	peptide chain release factor 3	translational termination|0006415||IEA	TCH1516	NC_010079.1	USA300HOU_RS05055
id-NC_010079.1:1025974..1026080	None	1025974	1026080	+	None	None	TCH1516	NC_010079.1	None
cds-WP_000928413.1	USA300HOU_RS05060	1026156	1026959	+	TerC family protein	None	TCH1516	NC_010079.1	USA300HOU_RS05060
cds-WP_076035548.1	USA300HOU_RS05065	1027178	1029502	+	S1C family serine protease	None	TCH1516	NC_010079.1	USA300HOU_RS05065
cds-WP_000021864.1	USA300HOU_RS05070	1029519	1030877	+	TrkH family potassium uptake protein	None	TCH1516	NC_010079.1	USA300HOU_RS05070
cds-WP_000414177.1	USA300HOU_RS05075	1031016	1032527	+	bifunctional UDP-sugar hydrolase/5'-nucleotidase	None	TCH1516	NC_010079.1	USA300HOU_RS05075
rna-USA300HOU_RS05080	USA300HOU_RS05080	1032707	1032795	-	None	None	TCH1516	NC_010079.1	USA300HOU_RS05080
exon-USA300HOU_RS05080-1	USA300HOU_RS05080	1032707	1032795	-	None	None	TCH1516	NC_010079.1	USA300HOU_RS05080
rna-USA300HOU_RS05085	USA300HOU_RS05085	1032798	1032872	-	None	None	TCH1516	NC_010079.1	USA300HOU_RS05085
exon-USA300HOU_RS05085-1	USA300HOU_RS05085	1032798	1032872	-	None	None	TCH1516	NC_010079.1	USA300HOU_RS05085
cds-WP_000287265.1	USA300HOU_RS05090	1033014	1033583	-	competence protein ComK	None	TCH1516	NC_010079.1	USA300HOU_RS05090
cds-WP_000876826.1	USA300HOU_RS05095	1033793	1034011	+	IDEAL domain-containing protein	None	TCH1516	NC_010079.1	USA300HOU_RS05095
cds-WP_000668820.1	USA300HOU_RS05100	1034092	1035078	-	lipoate--protein ligase	protein modification process|0036211||IEA	TCH1516	NC_010079.1	USA300HOU_RS05100
cds-WP_000214898.1	USA300HOU_RS05105	1035277	1035453	+	YkvS family protein	None	TCH1516	NC_010079.1	USA300HOU_RS05105
cds-WP_001033867.1	USA300HOU_RS05110	1035468	1036070	+	CPBP family glutamic-type intramembrane protease	CAAX-box protein processing|0071586||IEA	TCH1516	NC_010079.1	USA300HOU_RS05110
cds-WP_228764722.1	USA300HOU_RS15995	1036386	1036448	+	hypothetical protein	None	TCH1516	NC_010079.1	USA300HOU_RS15995
